outer_fold,model,metric,reported_value,recomputed_value,absolute_difference,threshold_used,status
4,logistic_regression,sensitivity,0.428571,0.42857142857142855,4.286e-07,0.5,MATCH
4,logistic_regression,specificity,0.875,0.875,0.0,0.5,MATCH
4,logistic_regression,ppv,0.75,0.75,0.0,0.5,MATCH
4,logistic_regression,npv,0.636364,0.6363636363636364,3.636e-07,0.5,MATCH
4,logistic_regression,f1,0.545455,0.5454545454545454,4.545e-07,0.5,MATCH
4,logistic_regression,balanced_accuracy,0.651786,0.6517857142857143,2.857e-07,0.5,MATCH
4,logistic_regression,brier_score,0.215957,0.21595714230899998,1.423e-07,0.5,MATCH
4,linear_svm,roc_auc,0.75,0.7499999999999999,0.0,0.5,MATCH
4,linear_svm,pr_auc,-0.237201,-0.237201,0.0,0.5,MATCH
4,linear_svm,sensitivity,0.0,0.0,0.0,0.5,MATCH
4,linear_svm,specificity,1.0,1.0,0.0,0.5,MATCH
4,linear_svm,ppv,,,,0.5,N/A
4,linear_svm,npv,0.533333,0.5333333333333333,3.333e-07,0.5,MATCH
4,linear_svm,f1,0.0,0.0,0.0,0.5,MATCH
4,linear_svm,balanced_accuracy,0.5,0.5,0.0,0.5,MATCH
4,linear_svm,brier_score,,,,0.5,N/A
4,random_forest,roc_auc,0.571429,0.5714285714285714,4.286e-07,0.5,MATCH
4,random_forest,pr_auc,0.458125,0.458125,0.0,0.5,MATCH
4,random_forest,sensitivity,0.714286,0.7142857142857143,2.857e-07,0.5,MATCH
4,random_forest,specificity,0.75,0.75,0.0,0.5,MATCH
4,random_forest,ppv,0.714286,0.7142857142857143,2.857e-07,0.5,MATCH
4,random_forest,npv,0.75,0.75,0.0,0.5,MATCH
4,random_forest,f1,0.714286,0.7142857142857143,2.857e-07,0.5,MATCH
4,random_forest,balanced_accuracy,0.732143,0.7321428571428572,1.429e-07,0.5,MATCH
4,random_forest,brier_score,0.260292,0.2602916933385333,3.067e-07,0.5,MATCH
